#Points:1	velocidad:0	velocidad:1
0.82	0.2507467	0.0710936
0.821	0.2517276	0.07096789
0.822	0.2527086	0.07084217
0.823	0.2536895	0.07071646
0.824	0.2546657	0.07058506
0.825	0.2556395	0.07045082
0.826	0.2566133	0.07031657
0.827	0.257585	0.07017938
0.828	0.2585525	0.0700363
0.829	0.2595199	0.06989322
0.83	0.2604873	0.06975015
0.831	0.2614494	0.06959792
0.832	0.2624115	0.06944568
0.833	0.2633735	0.06929345
0.834	0.2643328	0.06913489
0.835	0.2652906	0.06897316
0.836	0.2662486	0.06881142
0.837	0.2672055	0.0686464
0.838	0.2681606	0.0684748
0.839	0.2691158	0.06830319
0.84	0.2700709	0.06813159
0.841	0.2710251	0.06794969
0.842	0.2719793	0.06776781
0.843	0.2729335	0.06758592
0.844	0.2738886	0.06739689
0.845	0.274844	0.06720427
0.846	0.2757994	0.06701166
0.847	0.2767561	0.06681532
0.848	0.2777153	0.06661151
0.849	0.2786745	0.0664077
0.85	0.2796337	0.06620388
0.851	0.2805997	0.06598837
0.852	0.2815657	0.06577286
0.853	0.2825317	0.06555734
0.854	0.2835046	0.06533366
0.855	0.284481	0.06510587
0.856	0.2854573	0.0648781
0.857	0.2864384	0.06464605
0.858	0.2874292	0.06440544
0.859	0.2884201	0.06416481
0.86	0.2894109	0.0639242
0.861	0.290421	0.06367013
0.862	0.291431	0.06341605
0.863	0.2924411	0.06316198
0.864	0.2934677	0.06289848
0.865	0.2945026	0.06263029
0.866	0.2955374	0.0623621
0.867	0.2965826	0.06208898
0.868	0.2976485	0.06180598
0.869	0.2987145	0.06152297
0.87	0.2997804	0.06123998
0.871	0.3008846	0.06094147
0.872	0.3019887	0.06064297
0.873	0.303093	0.06034444
0.874	0.3042281	0.0600351
0.875	0.3053787	0.05972035
0.876	0.3065292	0.0594056
0.877	0.3076983	0.05908518
0.878	0.3089045	0.05875342
0.879	0.3101107	0.05842168
0.88	0.3113168	0.05808993
0.881	0.3125888	0.05774046
0.882	0.3138608	0.05739096
0.883	0.3151328	0.05704149
0.884	0.3164563	0.0566797
0.885	0.3178056	0.05631176
0.886	0.3191548	0.05594381
0.887	0.3205342	0.05556946
0.888	0.3219734	0.05518235
0.889	0.3234126	0.05479523
0.89	0.3248518	0.05440812
0.891	0.326395	0.05400117
0.892	0.3279382	0.0535942
0.893	0.3294814	0.05318726
0.894	0.331104	0.0527667
0.895	0.3327663	0.05233933
0.896	0.3344288	0.05191193
0.897	0.3361364	0.05147758
0.898	0.3379346	0.05102928
0.899	0.3397328	0.05058097
0.9	0.341531	0.05013267
0.901	0.3434831	0.04966302
0.902	0.3454351	0.0491934
0.903	0.3473871	0.04872377
0.904	0.3494545	0.04823977
0.905	0.3515795	0.04774858
0.906	0.3537047	0.04725736
0.907	0.3558943	0.04675896
0.908	0.3582129	0.04624614
0.909	0.3605315	0.04573331
0.91	0.3628503	0.04522045
0.911	0.3653842	0.04468613
0.912	0.367918	0.04415181
0.913	0.3704519	0.04361748
0.914	0.3731443	0.04306908
0.915	0.3759162	0.04251361
0.916	0.3786879	0.04195817
0.917	0.3815468	0.04139591
0.918	0.3845799	0.04082002
0.919	0.3876131	0.04024409
0.92	0.3906462	0.03966819
0.921	0.3939646	0.03907282
0.922	0.397283	0.03847744
0.923	0.4006015	0.03788207
0.924	0.4041265	0.03727455
0.925	0.4077546	0.03666102
0.926	0.4113827	0.03604749
0.927	0.415122	0.03542847
0.928	0.4190839	0.03479849
0.929	0.423046	0.03416848
0.93	0.4270079	0.03353849
0.931	0.4313273	0.03289418
0.932	0.4356467	0.03224987
0.933	0.4399664	0.03160552
0.934	0.4445392	0.03095336
0.935	0.4492388	0.03029727
0.936	0.4539383	0.02964118
0.937	0.4587716	0.02898216
0.938	0.4638728	0.02831727
0.939	0.4689736	0.02765241
0.94	0.4740744	0.02698756
0.941	0.4795953	0.02631741
0.942	0.4851163	0.02564726
0.943	0.4906376	0.02497707
0.944	0.4964494	0.02430602
0.945	0.5024067	0.02363452
0.946	0.5083639	0.02296302
0.947	0.5144711	0.0222925
0.948	0.5208771	0.02162404
0.949	0.5272832	0.02095559
0.95	0.5336892	0.02028714
0.951	0.5405522	0.01962655
0.952	0.5474157	0.01896593
0.953	0.5542787	0.01830535
0.954	0.5614486	0.0176535
0.955	0.5687718	0.017006
0.956	0.5760951	0.01635851
0.957	0.5835713	0.01571719
0.958	0.5913521	0.01508833
0.959	0.5991329	0.01445947
0.96	0.6069137	0.01383061
0.961	0.6151434	0.01322614
0.962	0.6233725	0.01262171
0.963	0.6316017	0.01201727
0.964	0.6401189	0.01143309
0.965	0.64878	0.01085904
0.966	0.6574417	0.01028495
0.967	0.6662388	0.009723009
0.968	0.6753077	0.009185305
0.969	0.6843767	0.0086476
0.97	0.6934462	0.008109865
0.971	0.7028905	0.00761437
0.972	0.7123348	0.007118875
0.973	0.7217791	0.00662338
0.974	0.7314464	0.006159736
0.975	0.7412258	0.005711991
0.976	0.7510047	0.005264273
0.977	0.7608785	0.004834176
0.978	0.7709424	0.004439319
0.979	0.7810064	0.004044462
0.98	0.7910709	0.003649582
0.981	0.8013623	0.003311967
0.982	0.8116537	0.002974351
0.983	0.8219451	0.002636735
0.984	0.8323453	0.002339552
0.985	0.8427989	0.002062614
0.986	0.8532525	0.001785675
0.987	0.8637362	0.001529705
0.988	0.8742801	0.001315674
0.989	0.8848246	0.001101631
0.99	0.8953686	0.000887601
0.991	0.9059257	0.000737228
0.992	0.9164828	0.000586855
0.993	0.9270399	0.000436482
0.994	0.9375529	0.000327862
0.995	0.9480429	0.000240129
0.996	0.9585329	0.000152397
0.997	0.9689736	8.45E-05
0.998	0.9793161	5.63E-05
0.999	0.9896581	2.82E-05
1	1	0
